num,octant,stem,item
1,PA,"When I am with him/her/them, it is... that",I appear confident
2,FG,"When I am with him/her/them, it is... that",I not reveal my positive feelings for them
3,LM,"When I am with him/her/them, it is... that",I feel connected to them
4,BC,"When I am with him/her/them, it is... that",I appear forceful
5,HI,"When I am with him/her/them, it is... that",I conform to their expectations
6,NO,"When I am with him/her/them, it is... that",I am unique
7,DE,"When I am with him/her/them, it is... that",I keep my guard up
8,JK,"When I am with him/her/them, it is... that",I put their needs before mine
9,PA,"When I am with him/her/them, it is... that",they acknowledge when I am right
10,FG,"When I am with him/her/them, it is... that",I not make a social blunder
11,LM,"When I am with him/her/them, it is... that",they show interest in what I have to say
12,BC,"When I am with him/her/them, it is... that",I attack back when I am attacked
13,HI,"When I am with him/her/them, it is... that",I not get into an argument
14,NO,"When I am with him/her/them, it is... that",they not deceive me
15,DE,"When I am with him/her/them, it is... that",they not know what I am thinking or feeling
16,JK,"When I am with him/her/them, it is... that",they not see me as getting in their way
17,PA,"When I am with him/her/them, it is... that",I get the chance to voice my views
18,FG,"When I am with him/her/them, it is... that",I appear aloof
19,LM,"When I am with him/her/them, it is... that",they support me when I am having problems
20,BC,"When I am with him/her/them, it is... that",I keep the upper hand
21,HI,"When I am with him/her/them, it is... that",I do what they want me to do
22,NO,"When I am with him/her/them, it is... that",I express myself openly
23,DE,"When I am with him/her/them, it is... that",I not show I care about them
24,JK,"When I am with him/her/them, it is... that",I get along with them
25,PA,"When I am with him/her/them, it is... that",they respect my privacy
26,FG,"When I am with him/her/them, it is... that",I not make mistakes in front of them
27,LM,"When I am with him/her/them, it is... that",they understand me
28,BC,"When I am with him/her/them, it is... that",I put my needs first
29,HI,"When I am with him/her/them, it is... that",I live up to their expectations
30,NO,"When I am with him/her/them, it is... that",they respect what I have to say
31,DE,"When I am with him/her/them, it is... that",they keep their distance from me
32,JK,"When I am with him/her/them, it is... that",they not reject me
33,PA,"When I am with him/her/them, it is... that",I not back down when disagreements arise
34,FG,"When I am with him/her/them, it is... that",I not say something stupid
35,LM,"When I am with him/her/them, it is... that",they come to me with their problems
36,BC,"When I am with him/her/them, it is... that",I am the one in charge
37,HI,"When I am with him/her/them, it is... that",I not make them angry
38,NO,"When I am with him/her/them, it is... that",I have an impact on them
39,DE,"When I am with him/her/them, it is... that",I do better than them
40,JK,"When I am with him/her/them, it is... that",I make them feel happy
41,PA,"When I am with him/her/them, it is... that",they not tell me what to do
42,FG,"When I am with him/her/them, it is... that",I not expose myself to the possibility of rejection
43,LM,"When I am with him/her/them, it is... that",they are considerate
44,BC,"When I am with him/her/them, it is... that",I avenge insults and injustices against me
45,HI,"When I am with him/her/them, it is... that",I go along with what they want to do
46,NO,"When I am with him/her/them, it is... that",they show me respect
47,DE,"When I am with him/her/them, it is... that",they see me as cool and unemotional
48,JK,"When I am with him/her/them, it is... that",they approve of me
49,PA,"When I am with him/her/them, it is... that",I am obeyed when I am in authority
50,FG,"When I am with him/her/them, it is... that",I not expose myself to ridicule
51,LM,"When I am with him/her/them, it is... that",they stay with me when things aren't going well
52,BC,"When I am with him/her/them, it is... that",I win if there is an argument
53,HI,"When I am with him/her/them, it is... that",I not embarrass myself
54,NO,"When I am with him/her/them, it is... that",they see me as responsible
55,DE,"When I am with him/her/them, it is... that",I appear detached
56,JK,"When I am with him/her/them, it is... that",they think I am a nice person
57,PA,"When I am with him/her/them, it is... that",they admit it when they are wrong
58,FG,"When I am with him/her/them, it is... that",I keep my thoughts or feelings to myself
59,LM,"When I am with him/her/them, it is... that",they show concern for how I am feeling
60,BC,"When I am with him/her/them, it is... that",they mind their own business
61,HI,"When I am with him/her/them, it is... that",they not get angry with me
62,NO,"When I am with him/her/them, it is... that",they listen to what I have to say
63,DE,"When I am with him/her/them, it is... that",I not reveal what I am really like
64,JK,"When I am with him/her/them, it is... that",they not get their feelings hurt
